+-------------------------------------------------------------------------------------------------------+
| Group: PCMEX                                                                                          |
+-------------------------------------------------------------------------------------------------------+
| Block    | Description             | Index | Byte offset      | Block Byte Length | Total Byte Length |
+-------------------------------------------------------------------------------------------------------+
| PCMT_CMN | PCMTone Common          |       |  0x0000 0000     | 64                | 64                |
| MFX      |                         |       |  0x0040 0064     | 84                | 84                |
| PCMT_PMT | PCMTone PartialMixTable |       |  0x0094 0148     | 52                | 52                |
| PCMT_PTL | PCMTone Partial         |       | [ 1] 0x00c8 0200 | 124               | 496               |
|          |                         |       | [ 2] 0x0144 0324 |                   |                   |
|          |                         |       | [ 3] 0x01c0 0448 |                   |                   |
|          |                         |       | [ 4] 0x023c 0572 |                   |                   |
| PTL_PENV | Partial Pitch Envelope  |       | [ 1] 0x02b8 0696 | 24                | 96                |
|          |                         |       | [ 2] 0x02d0 0720 |                   |                   |
|          |                         |       | [ 3] 0x02e8 0744 |                   |                   |
|          |                         |       | [ 4] 0x0300 0768 |                   |                   |
| PTL_FENV | Partial TVF Envelope    |       | [ 1] 0x0318 0792 | 24                | 96                |
|          |                         |       | [ 2] 0x0330 0816 |                   |                   |
|          |                         |       | [ 3] 0x0348 0840 |                   |                   |
|          |                         |       | [ 4] 0x0360 0864 |                   |                   |
| PTL_AENV | Partial TVA Envelope    |       | [ 1] 0x0378 0888 | 16                | 64                |
|          |                         |       | [ 2] 0x0388 0904 |                   |                   |
|          |                         |       | [ 3] 0x0398 0920 |                   |                   |
|          |                         |       | [ 4] 0x03a8 0936 |                   |                   |
| PTL_LFO  | Partial LFO             |       | [ 1] 0x03b8 0952 | 104               | 416               |
|          |                         |       | [ 2] 0x0420 1056 |                   |                   |
|          |                         |       | [ 3] 0x0488 1160 |                   |                   |
|          |                         |       | [ 4] 0x04f0 1264 |                   |                   |
| PTL_EQ   | Partial EQ              |       | [ 1] 0x0558 1368 | 16                | 64                |
|          |                         |       | [ 2] 0x0568 1384 |                   |                   |
|          |                         |       | [ 3] 0x0578 1400 |                   |                   |
|          |                         |       | [ 4] 0x0588 1416 |                   |                   |
| PCMS_CMN | PCMSynth Common         |       |  0x0598 1432     | 20                | 20                |
| PCMS_PMT | PCMSynth PMT            |       |  0x05ac 1452     | 36                | 36                |
| PCMS_PTL | PCMSynth Partial        |       | [ 1] 0x05d0 1488 | 36                | 144               |
|          |                         |       | [ 2] 0x05f4 1524 |                   |                   |
|          |                         |       | [ 3] 0x0618 1560 |                   |                   |
